Village,DOC_NUM,survey_number,fair_value,land_type,document_amount,extent,market_value,,old sub_division_number,,,,,
Cherthala thekku,2638,54,105600,Residential Plot with NH/PWD road access,410000,2.2,186363.6364,,,,,,,
Cherthala thekku,2642,33,950400,Commercially important Plot,655000,1.72,380813.9535,,,,,,,
Cherthala thekku,2646,264,126720,Residential Plot with NH/PWD road access,889000,1,889000,,,,,,,
Cherthala thekku,2651,81,158400,Residential Plot with NH/PWD road access,7000000,6.59,1062215.478,,,,,,,
Cherthala thekku,2802,198,109824,Residential Plot with NH/PWD road access,43700,0.38,115000,,,,,,,
Cherthala thekku,2804,152,66000,Residential Plot without vehicular access,175000,2.65,66037.73585,,,,,,,
Cherthala thekku,2812,79,84480,Residential Plot without vehicular access,312500,1.21,258264.4628,,,,,,,
Cherthala thekku,2813,78,84480,Residential Plot without vehicular access,195000,2.83,68904.59364,,,,,,,
Cherthala thekku,2814,96,79200,Residential Plot without vehicular access,375000,4.7,79787.23404,,,,,,,
Cherthala thekku,2820,214,79200,Residential Plot without vehicular access,1000000,2.8,357142.8571,,,,,,,
Cherthala thekku,2824,33,950400,Commercially important Plot,5000,0.95,5263.157895,,,,,,,
Cherthala thekku,2826,41,95040,Residential Plot without vehicular access,1986000,1.62,1225925.926,,,,,,,
Cherthala thekku,2830,37,147840,Residential Plot with Corp./Mun./Panch. road access,550000,2.63,209125.4753,,,,,,,
Cherthala thekku,2831,41,95040,Residential Plot without vehicular access,550000,2.67,205992.5094,,,,,,,
Cherthala thekku,2833,142,66000,Garden Land with road access,1062500,2.2,482954.5455,,,,,,,
Cherthala thekku,2834,214,147840,Residential Plot with NH/PWD road access,500000,1.92,260416.6667,,,,,,,
Cherthala thekku,2838,179,66000,Residential Plot without vehicular access,1250000,5.67,220458.5538,,,,,,,
Cherthala thekku,2839,278,110880,Residential Plot with Corp./Mun./Panch. road access,121000,0.86,140697.6744,,,,,,,
Cherthala thekku,2845,129,60720,Residential Plot without vehicular access,512000,3.23,158513.9319,,,,,,,
Cherthala thekku,2847,59,13200,Wet land,150000,0.91,164835.1648,,,,,,,
Cherthala thekku,2858,310,179520,Residential Plot without vehicular access,14000000,8.5,1647058.824,,,,,,,
Cherthala thekku,2859,227,60720,Residential Plot without vehicular access,2151400,2.36,911610.1695,,,,,,,
Cherthala thekku,2865,33,950400,Residential Plot without vehicular access,500000,2.43,205761.3169,,,,,,,
Cherthala thekku,2867,111,84480,Residential Plot without vehicular access,250000,1.76,142045.4545,,,,,,,
Cherthala thekku,2868,271,71280,Residential Plot without vehicular access,162500,0.81,200617.284,,,,,,,
Cherthala thekku,2869,265,71280,Residential Plot without vehicular access,500000,3.3,151515.1515,,,,,,,
Cherthala thekku,2870,131,60720,Residential Plot without vehicular access,300000,3.24,92592.59259,,,,,,,
Cherthala thekku,2871,120,52800,Residential Plot without vehicular access,37500,0.68,55147.05882,,,,,,,
Cherthala thekku,2873,181,11880,Wet land,1875000,4.11,456204.3796,,,,,,,
Cherthala thekku,2877,67,60720,Residential Plot without vehicular access,1300000,6.7,194029.8507,,,,,,,
Cherthala thekku,2878,83,126720,Residential Plot with NH/PWD road access,2300000,2.73,842490.8425,,,,,,,
Cherthala thekku,2882,16,116160,Residential Plot with NH/PWD road access,429000,2.2,195000,,,,,,,
Cherthala thekku,2889,78,147840,Residential Plot with NH/PWD road access,440000,7.22,60941.82825,,,,,,,
Cherthala thekku,2891,144,52800,Residential Plot without vehicular access,75000,0.8,93750,,,,,,,
Cherthala thekku,2896,216,79200,Residential Plot without vehicular access,400000,4.83,82815.73499,,,,,,,
Cherthala thekku,2112,267,71280,Residential Plot without vehicular access,6000000,3.44,1744186.047,,8,,,,,
Cherthala thekku,2113,240,126720,Residential Plot with Corp./Mun./Panch. road access,6500000,2.3,2826086.957,,3/1/4/3,,,,,
Cherthala thekku,1212,210,15840,Wet land,15000,0.1,150000,,11,,,,,
Cherthala thekku,2117,34,105600,Residential Plot without vehicular access,4200000,15.83,265319.0145,,20/1,,,,,
Cherthala thekku,2118,151,79200,"Garden Land without road access	",340000,1.22,278688.5246,,6-Mar,,,,,
Cherthala thekku,2122,115,52800,Garden Land without road access,3700000,2.2,1681818.182,,1/C/6,,,,,
Cherthala thekku,2124,233,Null,Null,312500,4.5,69444.44444,,14/A/25,,,,,
Cherthala thekku,2125,37,2126,Residential Plot with Corp./Mun./Panch. road access,325000,1.71,190058.4795,,13/2/20,,,,,
Cherthala thekku,1226,2,52800,Residential Plot without vehicular access,500000,5.27,94876.66034,,2,,,,,
Cherthala thekku,2126,188,84480,Residential Plot without vehicular access,1500000,4.5,333333.3333,,12-Oct,,,,,
Cherthala thekku,1231,9,47520,Residential Plot without vehicular access,300000,2.84,105633.8028,,12,,,,,
Cherthala thekku,1234,261,15840,Wet land,2000000,2.2,909090.9091,,1,,,,,
Cherthala thekku,2128,47,66000,Garden Land without road access,1600000,8.9,179775.2809,,2/A/3,,,,,
Cherthala thekku,2129,154,13200,Wet land,276000,0.3,920000,,1/1/2002,,,,,
Cherthala thekku,2130,250,71280,"Residential Plot without vehicular access	",1800000,0.81,2222222.222,,2/1/1/2,,,,,
Cherthala thekku,1237,219,84480,Residential Plot with private road access,600000,3.24,185185.1852,,16,,,,,
Cherthala thekku,1240,105,84480,Residential Plot without vehicular access,500000,4.45,112359.5506,,9,,,,,
Cherthala thekku,1241,165,13200,"	Wet land",925000,1.82,508241.7582,,2,,,,,
Cherthala thekku,1242,263,71280,Residential Plot without vehicular access,1050000,7.53,139442.2311,,7,,,,,
Cherthala thekku,1245,71,47520,"	Water logged land",6138900,8.72,704002.2936,,7,,,,,
Cherthala thekku,1251,135,60720,"	Residential Plot without vehicular access",100000,1.62,61728.39506,,1,,,,,
Cherthala thekku,1253,84,71280,Residential Plot without vehicular access,4680000,1.62,2888888.889,,12,,,,,
Cherthala thekku,1259,127,66000,Garden Land without road access,187500,1.36,137867.6471,,2,,,,,
Cherthala thekku,1260,56,105600,Residential Plot with Corp./Mun./Panch. road access,425000,5.26,80798.47909,,15,,,,,
Cherthala thekku,1277,33,950400,Commercially important Plot,2000000,4.06,492610.8374,,12,,,,,
Cherthala thekku,1279,84,71280,Residential Plot without vehicular access,5850000,2.2,2659090.909,,12,,,,,
Cherthala thekku,1281,188,84480,"	Residential Plot without vehicular access",240000,4.5,53333.33333,,11,,,,,
Cherthala thekku,1283,215,79200,"	Residential Plot without vehicular access",500000,2.29,218340.6114,,4,,,,,
Cherthala thekku,1287,84,71280,"	Residential Plot without vehicular access",3510000,1.21,2900826.446,,12,,,,,
Cherthala thekku,1288,33,950400,"	Commercially important Plot",850000,3.3,257575.7576,,12,,,,,
Cherthala thekku,1289,32,84480,Residential Plot without vehicular access,160000,1.82,87912.08791,,11,,,,,
Cherthala thekku,1290,160,50160,Residential Plot without vehicular access,429000,2.2,195000,,1,,,,,
Cherthala thekku,1295,33,105600,Residential Plot without vehicular access,31000,0.18,172222.2222,,22,,,,,
